"Step","dual_nyc_man_south_paper_v2_mode2 - combined/total_reward","dual_nyc_man_south_paper_v2_mode2 - combined/total_reward__MIN","dual_nyc_man_south_paper_v2_mode2 - combined/total_reward__MAX"
"0","3520.0400390625","3520.0400390625","3520.0400390625"
"21","1641.443603515625","1641.443603515625","1641.443603515625"
"48","2985.72802734375","2985.72802734375","2985.72802734375"
"59","2300.40283203125","2300.40283203125","2300.40283203125"
"72","2955.826904296875","2955.826904296875","2955.826904296875"
"118","1708.91943359375","1708.91943359375","1708.91943359375"
"148","2100.2822265625","2100.2822265625","2100.2822265625"
"150","2675.82861328125","2675.82861328125","2675.82861328125"
"153","2469.2939453125","2469.2939453125","2469.2939453125"
"154","2765.76318359375","2765.76318359375","2765.76318359375"
"163","2218.159423828125","2218.159423828125","2218.159423828125"
"184","457.24664306640625","457.24664306640625","457.24664306640625"
"224","3369.263671875","3369.263671875","3369.263671875"
"249","2439.104736328125","2439.104736328125","2439.104736328125"
"258","2058.3974609375","2058.3974609375","2058.3974609375"
"265","4052.08056640625","4052.08056640625","4052.08056640625"
"277","2250.1455078125","2250.1455078125","2250.1455078125"
"280","2899.32470703125","2899.32470703125","2899.32470703125"
"291","2879.658447265625","2879.658447265625","2879.658447265625"
"300","1774.2001953125","1774.2001953125","1774.2001953125"
"304","2507.579345703125","2507.579345703125","2507.579345703125"
"317","3198.40478515625","3198.40478515625","3198.40478515625"
"336","2504.98876953125","2504.98876953125","2504.98876953125"
"352","3075.1015625","3075.1015625","3075.1015625"
"367","1496.11767578125","1496.11767578125","1496.11767578125"
"388","1366.2066650390625","1366.2066650390625","1366.2066650390625"
"404","3130.705810546875","3130.705810546875","3130.705810546875"
"424","3300.566650390625","3300.566650390625","3300.566650390625"
"429","1769.950927734375","1769.950927734375","1769.950927734375"
"434","1589.8531494140625","1589.8531494140625","1589.8531494140625"
"464","3149.9208984375","3149.9208984375","3149.9208984375"
"476","3127.795166015625","3127.795166015625","3127.795166015625"
"514","1828.79736328125","1828.79736328125","1828.79736328125"
"518","2811.123779296875","2811.123779296875","2811.123779296875"
"533","2104.070556640625","2104.070556640625","2104.070556640625"
"548","3585.9111328125","3585.9111328125","3585.9111328125"
"577","1124.685302734375","1124.685302734375","1124.685302734375"
"585","3191.374755859375","3191.374755859375","3191.374755859375"
"612","2401.531005859375","2401.531005859375","2401.531005859375"
"645","1906.390380859375","1906.390380859375","1906.390380859375"
"651","2812.73974609375","2812.73974609375","2812.73974609375"
"662","1731.6072998046875","1731.6072998046875","1731.6072998046875"
"675","3885.08447265625","3885.08447265625","3885.08447265625"
"685","2566.14306640625","2566.14306640625","2566.14306640625"
"702","3308.93798828125","3308.93798828125","3308.93798828125"
"751","2146.062255859375","2146.062255859375","2146.062255859375"
"754","3086.0048828125","3086.0048828125","3086.0048828125"
"762","4240.638671875","4240.638671875","4240.638671875"
"788","2954.34814453125","2954.34814453125","2954.34814453125"
"801","3957.76513671875","3957.76513671875","3957.76513671875"
"806","3360.337646484375","3360.337646484375","3360.337646484375"
"812","5089.345703125","5089.345703125","5089.345703125"
"839","2858.151123046875","2858.151123046875","2858.151123046875"
"881","4903.314453125","4903.314453125","4903.314453125"
"884","3383.224609375","3383.224609375","3383.224609375"
"913","2798.815673828125","2798.815673828125","2798.815673828125"
"921","3854.1962890625","3854.1962890625","3854.1962890625"
"947","4618.4365234375","4618.4365234375","4618.4365234375"
"961","4358.4228515625","4358.4228515625","4358.4228515625"
"962","3743.20947265625","3743.20947265625","3743.20947265625"
"964","3569.238525390625","3569.238525390625","3569.238525390625"
"975","2293.319580078125","2293.319580078125","2293.319580078125"
"990","4272.80078125","4272.80078125","4272.80078125"
"996","2647.36669921875","2647.36669921875","2647.36669921875"
"997","1271.1485595703125","1271.1485595703125","1271.1485595703125"
"1010","3639.9609375","3639.9609375","3639.9609375"
"1020","4227.3779296875","4227.3779296875","4227.3779296875"
"1025","4311.076171875","4311.076171875","4311.076171875"
"1049","3669.02197265625","3669.02197265625","3669.02197265625"
"1066","4600.36279296875","4600.36279296875","4600.36279296875"
"1074","3676.4384765625","3676.4384765625","3676.4384765625"
"1084","2402.69921875","2402.69921875","2402.69921875"
"1103","4479.11328125","4479.11328125","4479.11328125"
"1112","3815.09912109375","3815.09912109375","3815.09912109375"
"1128","3742.242431640625","3742.242431640625","3742.242431640625"
"1130","2334.4267578125","2334.4267578125","2334.4267578125"
"1136","3748.30078125","3748.30078125","3748.30078125"
"1163","2551.230224609375","2551.230224609375","2551.230224609375"
"1164","905.3078002929688","905.3078002929688","905.3078002929688"
"1167","3192.329345703125","3192.329345703125","3192.329345703125"
"1182","3330.5029296875","3330.5029296875","3330.5029296875"
"1216","4459.68701171875","4459.68701171875","4459.68701171875"
"1232","2511.68408203125","2511.68408203125","2511.68408203125"
"1238","3462.2783203125","3462.2783203125","3462.2783203125"
"1252","4466.890625","4466.890625","4466.890625"
