"Step","dual_nyc_man_south_no_info_paper_v2_mode2 - combined/total_reward","dual_nyc_man_south_no_info_paper_v2_mode2 - combined/total_reward__MIN","dual_nyc_man_south_no_info_paper_v2_mode2 - combined/total_reward__MAX"
"0","526.499267578125","526.499267578125","526.499267578125"
"21","2644.669189453125","2644.669189453125","2644.669189453125"
"48","1755.9656982421875","1755.9656982421875","1755.9656982421875"
"59","2343.452392578125","2343.452392578125","2343.452392578125"
"72","2930.398193359375","2930.398193359375","2930.398193359375"
"118","3055.75634765625","3055.75634765625","3055.75634765625"
"148","2686.98095703125","2686.98095703125","2686.98095703125"
"150","3162.727783203125","3162.727783203125","3162.727783203125"
"153","1245.0162353515625","1245.0162353515625","1245.0162353515625"
"154","3109.219482421875","3109.219482421875","3109.219482421875"
"163","2058.35302734375","2058.35302734375","2058.35302734375"
"184","1426.055908203125","1426.055908203125","1426.055908203125"
"224","491.6601257324219","491.6601257324219","491.6601257324219"
"249","2546.456298828125","2546.456298828125","2546.456298828125"
"258","1962.6158447265625","1962.6158447265625","1962.6158447265625"
"265","2266.007568359375","2266.007568359375","2266.007568359375"
"277","3008.35546875","3008.35546875","3008.35546875"
"280","908.137939453125","908.137939453125","908.137939453125"
"291","2331.550048828125","2331.550048828125","2331.550048828125"
"300","2268.820068359375","2268.820068359375","2268.820068359375"
"304","2675.095703125","2675.095703125","2675.095703125"
"317","1827.9404296875","1827.9404296875","1827.9404296875"
"336","3218.11572265625","3218.11572265625","3218.11572265625"
"352","2179.029296875","2179.029296875","2179.029296875"
"367","3043.423583984375","3043.423583984375","3043.423583984375"
"388","2307.9150390625","2307.9150390625","2307.9150390625"
"404","2430.818359375","2430.818359375","2430.818359375"
"424","2140.318359375","2140.318359375","2140.318359375"
"429","2635.39453125","2635.39453125","2635.39453125"
"434","2205.40625","2205.40625","2205.40625"
"464","2939.7763671875","2939.7763671875","2939.7763671875"
"476","2105.4697265625","2105.4697265625","2105.4697265625"
"514","1293.4781494140625","1293.4781494140625","1293.4781494140625"
"518","2772.768310546875","2772.768310546875","2772.768310546875"
"533","1350.364013671875","1350.364013671875","1350.364013671875"
"548","4208.96044921875","4208.96044921875","4208.96044921875"
"577","2108.16015625","2108.16015625","2108.16015625"
"585","2065.171875","2065.171875","2065.171875"
"612","3312.52685546875","3312.52685546875","3312.52685546875"
"645","3241.74951171875","3241.74951171875","3241.74951171875"
"651","2364.250732421875","2364.250732421875","2364.250732421875"
"662","861.3118896484375","861.3118896484375","861.3118896484375"
"675","1001.99951171875","1001.99951171875","1001.99951171875"
"685","2466.70703125","2466.70703125","2466.70703125"
"702","1892.490234375","1892.490234375","1892.490234375"
"751","2561.05322265625","2561.05322265625","2561.05322265625"
"754","2712.76220703125","2712.76220703125","2712.76220703125"
"762","3423.95068359375","3423.95068359375","3423.95068359375"
"788","2840.8046875","2840.8046875","2840.8046875"
"801","3009.060302734375","3009.060302734375","3009.060302734375"
"806","2984.2109375","2984.2109375","2984.2109375"
"812","2885.728515625","2885.728515625","2885.728515625"
"839","2029.6026611328125","2029.6026611328125","2029.6026611328125"
"881","1841.91162109375","1841.91162109375","1841.91162109375"
"884","2608.923095703125","2608.923095703125","2608.923095703125"
"913","2723.45263671875","2723.45263671875","2723.45263671875"
"921","4471.02099609375","4471.02099609375","4471.02099609375"
"947","1200.896484375","1200.896484375","1200.896484375"
"961","3363.24462890625","3363.24462890625","3363.24462890625"
"962","4128.5712890625","4128.5712890625","4128.5712890625"
"964","2962.32568359375","2962.32568359375","2962.32568359375"
"975","2507.384033203125","2507.384033203125","2507.384033203125"
"990","2295.85009765625","2295.85009765625","2295.85009765625"
"996","2553.848388671875","2553.848388671875","2553.848388671875"
"997","2056.23095703125","2056.23095703125","2056.23095703125"
"1010","1991.429931640625","1991.429931640625","1991.429931640625"
"1020","1999.883544921875","1999.883544921875","1999.883544921875"
"1025","3369.4990234375","3369.4990234375","3369.4990234375"
"1049","2424.6796875","2424.6796875","2424.6796875"
"1066","3800.98583984375","3800.98583984375","3800.98583984375"
"1074","2269.903076171875","2269.903076171875","2269.903076171875"
"1084","2273.60302734375","2273.60302734375","2273.60302734375"
"1103","3897.775390625","3897.775390625","3897.775390625"
"1112","3731.892822265625","3731.892822265625","3731.892822265625"
"1128","4196.6904296875","4196.6904296875","4196.6904296875"
"1130","1531.022705078125","1531.022705078125","1531.022705078125"
"1136","3082.548095703125","3082.548095703125","3082.548095703125"
"1163","1925.7550048828125","1925.7550048828125","1925.7550048828125"
"1164","3921.316162109375","3921.316162109375","3921.316162109375"
"1167","2077.98388671875","2077.98388671875","2077.98388671875"
"1182","2908.56396484375","2908.56396484375","2908.56396484375"
"1216","3081.52294921875","3081.52294921875","3081.52294921875"
"1232","2155.37548828125","2155.37548828125","2155.37548828125"
"1238","1998.3990478515625","1998.3990478515625","1998.3990478515625"
"1252","2989.54833984375","2989.54833984375","2989.54833984375"
"1268","2832.15576171875","2832.15576171875","2832.15576171875"
"1271","2538.9482421875","2538.9482421875","2538.9482421875"
"1301","2927.156982421875","2927.156982421875","2927.156982421875"
"1350","3082.915283203125","3082.915283203125","3082.915283203125"
"1351","4746.224609375","4746.224609375","4746.224609375"
"1362","2239.26806640625","2239.26806640625","2239.26806640625"
"1366","2659.20166015625","2659.20166015625","2659.20166015625"
"1373","2687.62451171875","2687.62451171875","2687.62451171875"
"1403","3701.1123046875","3701.1123046875","3701.1123046875"
"1408","3776.080078125","3776.080078125","3776.080078125"
"1428","2431.50146484375","2431.50146484375","2431.50146484375"
"1446","3267.05908203125","3267.05908203125","3267.05908203125"
"1447","3237.53662109375","3237.53662109375","3237.53662109375"
"1448","2351.53955078125","2351.53955078125","2351.53955078125"
"1470","4489.7705078125","4489.7705078125","4489.7705078125"
"1501","4588.439453125","4588.439453125","4588.439453125"
"1507","4299.5498046875","4299.5498046875","4299.5498046875"
"1511","3939.3740234375","3939.3740234375","3939.3740234375"
"1531","4328.8623046875","4328.8623046875","4328.8623046875"
"1551","3447.45849609375","3447.45849609375","3447.45849609375"
"1574","3006.826416015625","3006.826416015625","3006.826416015625"
"1576","3622.1142578125","3622.1142578125","3622.1142578125"
"1589","4271.99267578125","4271.99267578125","4271.99267578125"
"1598","3089.6845703125","3089.6845703125","3089.6845703125"
"1600","3915.53759765625","3915.53759765625","3915.53759765625"
"1650","4444.619140625","4444.619140625","4444.619140625"
"1686","5060.056640625","5060.056640625","5060.056640625"
"1702","4708.5498046875","4708.5498046875","4708.5498046875"
"1718","3086.076416015625","3086.076416015625","3086.076416015625"
"1741","4200.2861328125","4200.2861328125","4200.2861328125"
"1760","4651.70849609375","4651.70849609375","4651.70849609375"
"1773","4693.58251953125","4693.58251953125","4693.58251953125"
"1782","5031.7236328125","5031.7236328125","5031.7236328125"
"1792","4860.1982421875","4860.1982421875","4860.1982421875"
"1796","5320.845703125","5320.845703125","5320.845703125"
"1800","4885.61474609375","4885.61474609375","4885.61474609375"
"1810","5561.1220703125","5561.1220703125","5561.1220703125"
"1814","4903.3203125","4903.3203125","4903.3203125"
"1821","4108.85400390625","4108.85400390625","4108.85400390625"
"1828","5428.8212890625","5428.8212890625","5428.8212890625"
"1830","3955.66259765625","3955.66259765625","3955.66259765625"
"1832","5199.4130859375","5199.4130859375","5199.4130859375"
"1833","5162.1591796875","5162.1591796875","5162.1591796875"
"1836","4546.6455078125","4546.6455078125","4546.6455078125"
"1846","5122.61669921875","5122.61669921875","5122.61669921875"
"1878","4256.171875","4256.171875","4256.171875"
"1897","5467.5986328125","5467.5986328125","5467.5986328125"
"1933","5595.26611328125","5595.26611328125","5595.26611328125"
"1944","5016.51806640625","5016.51806640625","5016.51806640625"
"1951","5410.037109375","5410.037109375","5410.037109375"
"1956","5588.400390625","5588.400390625","5588.400390625"
"1959","3466.77392578125","3466.77392578125","3466.77392578125"
"1985","5542.158203125","5542.158203125","5542.158203125"
"1991","5547.7880859375","5547.7880859375","5547.7880859375"
