Metric	Mode 0	Mode 1	Mode 2	Mode 3	Mode 4
Reward	-	-	18662.76 (289.01)	16283.02 (487.67)	18224.77 (260.39)
Rebalancing Costs	-	-	1539.90 (102.35)	0.00 (0.00)	1677.90 (99.34)
Rebalance Trips	-	-	321.30 (21.63)	0.00 (0.00)	342.90 (24.13)
Price	-	-	1.01 (0.00)	1.00 (0.00)	1.00 (0.00)
Wait/mins	-	-	0.58 (0.03)	0.65 (0.01)	0.63 (0.01)
Queue	-	-	12.52 (0.67)	15.37 (0.34)	14.06 (0.39)
Served Demand	-	-	3557.50 (35.31)	2932.80 (82.65)	3560.80 (29.75)
Arrivals	-	-	4511.70 (76.97)	4705.70 (73.36)	4705.70 (73.36)
